t,pressure
0.399,99617.12
0.4,94046.72
0.401,94567.52
0.402,92473.12
0.403,94799.84
0.404,98988.8
0.405,98424.96
0.406,92662.24
0.40700000000000003,97660.64
0.40800000000000003,95080.64
0.40900000000000003,95341.76
0.41000000000000003,93652.48
0.41100000000000003,90548.48
0.41200000000000003,97434.08
0.41300000000000003,99311.68000000001
0.41400000000000003,94164.48
0.41500000000000004,100000.0
0.41600000000000004,90632.16
0.417,95335.68000000001
0.418,95474.56
0.419,95235.84
0.42,95243.2
0.421,93057.28
0.422,95259.04000000001
0.423,95390.40000000001
0.424,94166.88
0.425,96981.6
0.426,94589.6
0.427,96760.96
0.428,97395.84
0.429,96434.72
0.43,90477.12
0.431,92952.32
0.432,93224.32
0.433,100000.0
0.434,96386.24
0.435,91192.16
0.436,96810.40000000001
0.437,96900.0
0.438,97051.68000000001
0.439,92017.76
0.44,98772.64
0.441,91697.6
0.442,95565.12
0.443,91420.8
0.444,97626.88
0.445,95200.32
0.446,93473.28
0.447,94091.04000000001
0.448,97261.92
0.449,93493.28
0.45,96353.12
0.451,91522.72
0.452,92889.28
0.453,95255.36
0.454,95193.6
0.455,93419.52
0.456,93725.92
0.457,96062.24
0.458,98632.64
0.459,93823.68000000001
0.46,93633.6
0.461,93868.8
0.462,100000.0
0.463,96946.40000000001
0.464,92718.08
0.465,95320.0
0.466,92419.04000000001
0.467,96780.64
0.468,96312.96
0.46900000000000003,99807.84
0.47000000000000003,97223.84
0.47100000000000003,100000.0
0.47200000000000003,91584.64
0.47300000000000003,95208.0
0.47400000000000003,97713.76
0.47500000000000003,97262.24
0.47600000000000003,98221.92
0.47700000000000004,98704.64
0.47800000000000004,95213.12
0.47900000000000004,100000.0
0.48,95133.6
0.481,95031.04000000001
0.482,97524.16
0.483,96664.96
0.484,96191.36
0.485,92268.48
0.486,89953.6
0.487,96033.44
0.488,92189.6
0.489,94669.76
0.49,92220.64
0.491,92343.04000000001
0.492,93229.44
0.493,99273.92
0.494,90782.08
0.495,94362.56
0.496,95960.8
0.497,92982.08
0.498,93104.8
0.499,90505.44
0.5,98185.92
0.501,96207.52
0.502,93130.88
0.503,94599.36
0.504,95909.12
0.505,94598.56
0.506,96347.2
0.507,90441.6
0.508,92210.88
0.509,95011.52
0.51,98812.8
0.511,93667.84
0.512,97900.32
0.513,97354.40000000001
0.514,94922.24
0.515,92870.40000000001
0.516,96850.72
0.517,92718.40000000001
0.518,100000.0
0.519,95260.96
0.52,94095.68000000001
0.521,92674.08
0.522,96783.68000000001
0.523,92523.52
0.524,97624.8
0.525,92993.92
0.526,96162.56
0.527,95987.2
0.528,96912.32
0.529,95979.52
0.53,96667.04000000001
0.531,91320.48
0.532,90448.32
